"Time","Handle/0/X","Handle/0/Y","Shoulder/0/X","Shoulder/0/Y","Seat/0/X","Seat/0/Y"
"0.008","251.5","-34","367.5","75","290","-156"
"0.017","245.5013","-37.00079","365.5016","75.02209","290.0018","-156.0029"
"0.025","239.5009","-40.00671","364.4986","75.02814","291.0002","-155.9994"
"0.033","232.5021","-44.00665","362.4961","76.01907","290.9991","-156.9958"
"0.042","228.4991","-47.00748","359.4982","76.03394","291.9996","-156.9946"
"0.05","218.4979","-51.0083","357.4993","77.03641","292.0002","-156.9934"
"0.058","211.4991","-54.01172","355.4999","78.02396","291.0012","-156.9929"
"0.067","205.4999","-58.0127","353.4985","78.03033","291.0024","-156.9917"
"0.075","198.4993","-60.01172","351.4959","79.02472","291.0037","-156.9907"
"0.083","192.4992","-64.0083","348.4964","79.03711","291.005","-156.9897"
"0.092","186.4995","-66.01123","346.4948","80.04028","291.0063","-156.9888"
"0.1","181.4985","-68.01474","344.4921","81.04114","291.0069","-156.9856"
"0.108","173.4982","-71.01193","342.4895","82.03","291.007","-156.98"
"0.117","167.4976","-73.01031","338.4924","82.03329","291.006","-156.9722"
"0.125","162.4985","-75.00793","336.4953","83.02933","291.0045","-156.9636"
"0.133","156.4994","-77.00595","334.4967","84.01877","290.0062","-156.9604"
"0.142","151.4999","-78.0087","331.4944","84.02109","290.0071","-156.9545"
"0.15","146.4991","-79.00967","329.5054","85.0061","290.006","-156.9465"
"0.158","142.4975","-79.01688","324.4989","85.01761","289.0076","-156.9439"
"0.167","135.5019","-80.00357","320.4976","85.03235","289.0079","-156.9392"
"0.175","130.5057","-79.99872","318.4923","86.0264","289.0056","-156.9299"
"0.184","126.5028","-80.9935","316.4924","87.00464","288.006","-156.9252"
"0.192","121.5024","-80.99158","310.4952","86.01501","288.0038","-156.9155"
"0.2","116.5031","-81.00153","309.4922","87.02188","287.0029","-156.9089"
"0.209","111.503","-80.99728","307.4887","88.01379","286.0034","-156.9035"
"0.217","107.5044","-82.00922","303.4881","88.00406","285.0048","-156.9021"
"0.225","102.5065","-82.0061","301.4961","88.01312","285.002","-156.895"
"0.234","98.50433","-82.02136","295.4982","88.00916","283.9995","-156.8881"
"0.242","93.50354","-83.0199","294.5021","88.9996","283.9971","-156.8807"
"0.25","89.49719","-83.026","293.5004","90.00903","282.9943","-156.874"
"0.259","84.49432","-84.01196","290.4987","89.02158","280.9966","-156.872"
"0.267","80.49109","-84.00162","288.4973","90.0155","279.9974","-156.8707"
"0.275","76.48907","-83.99899","285.4955","90.01108","278.998","-156.8706"
"0.284","72.48877","-85.0004","282.4936","90.01181","277.9973","-156.8718"
"0.292","68.49152","-84.00537","278.4955","90.01056","276.9946","-156.8724"
"0.3","65.4859","-84.00476","275.4974","90.0112","274.9954","-156.8781"
"0.309","61.48627","-84.00732","272.4994","90.01349","273.9933","-156.8818"
"0.317","58.48492","-84.008","269.5009","90.01947","271.9935","-156.8918"
"0.325","54.48431","-85.00787","266.5029","90.02582","270.991","-156.9017"
"0.334","50.487","-86.00781","264.5042","91.01282","269.9868","-156.9102"
"0.342","47.48663","-86.00995","261.5053","90.99924","267.987","-156.9215"
"0.35","43.48511","-86.99908","258.5049","91.99005","266.9816","-156.9344"
"0.359","39.48907","-87.99561","255.5045","91.98221","264.9777","-156.9496"
"0.367","36.48627","-87.98727","252.5043","91.97626","262.976","-156.968"
"0.375","32.48804","-87.98163","249.5057","91.96844","261.9702","-156.9838"
"0.384","28.49207","-87.97437","246.5077","91.96182","259.9658","-157.0037"
"0.392","25.49237","-86.98175","243.5064","91.9538","257.9644","-156.0251"
"0.4","21.49023","-86.98825","241.5058","91.95111","254.9658","-157.0008"
"0.409","17.4884","-86.98679","237.506","91.94287","253.9614","-156.9739"
"0.417","16.48572","-82.98996","235.5033","91.93665","251.9598","-157.9488"
"0.425","10.49091","-83.99469","232.5035","91.9281","249.9595","-157.9258"
"0.434","7.493286","-83.00259","228.5043","90.93488","247.959","-157.9061"
"0.442","5.493469","-82.01587","225.5056","90.94006","245.9603","-157.8889"
"0.45","1.495117","-82.02216","222.508","90.94193","243.9625","-157.876"
"0.459","-3.508118","-82.02866","220.5062","90.94336","241.965","-157.8639"
"0.467","-6.510742","-82.02844","217.5065","90.9426","239.9669","-157.8531"
"0.475","-10.51636","-82.02975","215.5035","90.94208","238.9628","-157.8406"
"0.484","-13.5174","-82.0249","212.5036","90.93356","236.9594","-157.8303"
"0.492","-18.51495","-82.02405","208.5059","89.93478","234.9575","-157.8219"
"0.5","-22.51056","-82.02048","206.5046","89.93625","232.955","-157.8163"
"0.509","-25.51355","-81.02551","203.5068","89.93158","230.9532","-157.8138"
"0.517","-30.508","-81.02191","201.5085","89.9248","228.9503","-157.8124"
"0.526","-32.50458","-80.02234","199.5095","89.91599","226.9488","-157.8133"
"0.534","-38.5025","-80.02536","196.5092","88.91898","224.947","-157.8156"
"0.542","-41.49481","-79.02664","194.5087","88.91931","222.9464","-157.8197"
"0.551","-42.49475","-77.02853","192.5066","88.91666","220.9459","-157.826"
"0.559","-48.50195","-76.02969","190.5043","88.90326","218.9461","-157.8331"
"0.567","-51.50214","-75.0256","187.512","87.91882","216.946","-157.8413"
"0.576","-53.50696","-73.02396","185.5205","87.9231","214.9463","-157.8516"
"0.584","-58.51404","-72.02655","184.5168","87.92462","212.9474","-157.8667"
"0.592","-61.50977","-71.02835","182.5155","87.9147","211.9432","-157.8788"
"0.601","-65.50439","-70.02402","180.519","87.89398","209.9406","-157.8937"
"0.609","-68.50262","-68.02432","178.5228","86.90707","207.9398","-157.9091"
"0.617","-71.50342","-67.01895","177.5201","86.9147","205.9412","-157.9277"
"0.626","-73.49451","-66.01111","175.5261","86.91623","204.9395","-157.9463"
"0.634","-75.49109","-64.00735","174.5294","86.91812","203.9341","-157.9639"
"0.642","-79.49872","-62.98901","173.5293","86.92188","201.9343","-157.9858"
"0.651","-81.50104","-61.97946","172.5269","86.92841","200.9327","-158.0073"
"0.659","-84.4978","-59.97757","171.5245","86.93701","199.9303","-157.0279"
"0.667","-86.49982","-57.966","170.5251","86.95093","198.9282","-157.0481"
"0.676","-87.49561","-56.94852","170.5212","87.9382","196.929","-158.0247"
"0.684","-88.48999","-53.95621","169.5214","87.93329","196.9269","-157.9995"
"0.692","-89.48248","-51.96072","168.5276","87.9317","196.924","-158.019"
"0.701","-90.48315","-49.94748","168.5284","87.94482","195.9224","-157.9941"
"0.709","-92.47516","-46.94678","168.5311","88.93814","195.9216","-158.0149"
"0.717","-92.47925","-44.9328","168.5323","88.94086","195.9195","-157.0334"
"0.726","-92.47968","-42.92932","168.5399","89.92023","195.9178","-157.0514"
"0.734","-92.47974","-39.92844","169.5345","89.91364","195.919","-157.0703"
"0.742","-92.48041","-36.93762","169.5333","89.91675","196.9156","-157.0863"
"0.751","-93.47626","-34.92911","169.5385","89.92358","196.9164","-157.1049"
"0.759","-92.47919","-31.93228","170.5433","90.91696","197.9169","-157.1223"
"0.767","-92.47772","-28.94089","171.545","90.91791","198.9159","-157.1382"
"0.776","-92.47223","-26.94711","172.5463","90.92355","199.9156","-157.1531"
"0.784","-91.47278","-24.95508","173.551","91.9162","200.9172","-157.1682"
"0.792","-90.47931","-22.96704","175.5471","91.91898","202.9155","-157.1818"
"0.801","-90.47998","-21.96078","176.5492","91.92645","203.9169","-157.1929"
"0.809","-89.47937","-19.96484","178.5508","92.92206","205.9169","-157.2006"
"0.817","-87.48029","-17.96912","180.5501","92.92303","207.9169","-157.2069"
"0.826","-84.47968","-16.96323","182.5482","92.92932","209.9174","-157.2142"
"0.834","-81.48108","-15.95749","184.5494","93.92349","211.9172","-157.2188"
"0.843","-78.47961","-14.95999","186.5544","93.92578","213.918","-157.2244"
"0.851","-75.47559","-13.96616","189.5565","93.93359","216.9158","-157.2258"
"0.859","-72.47516","-12.97922","192.5594","94.92944","218.9167","-157.2266"
"0.868","-68.47076","-12.97028","195.5612","94.93503","221.9155","-157.2227"
"0.876","-62.47382","-11.9902","199.5557","95.92569","224.913","-157.2181"
"0.884","-57.47394","-12.00443","202.5538","95.92709","227.9098","-157.2103"
"0.893","-50.47791","-11.0174","205.558","95.94077","229.9103","-157.204"
"0.901","-44.48096","-11.05582","210.5551","96.93933","232.9095","-157.1958"
"0.909","-37.48206","-12.06857","214.5556","96.95502","235.9092","-157.1862"
"0.918","-31.48016","-13.06842","218.5607","97.95477","238.9097","-157.1746"
"0.926","-26.4823","-14.04889","223.5601","98.94397","241.9107","-157.161"
"0.934","-21.48114","-14.0466","227.5604","98.94708","245.9064","-157.142"
"0.943","-16.47607","-14.04919","232.5587","99.93851","247.9076","-157.1254"
"0.951","-10.47638","-15.02451","236.561","99.94165","251.9043","-157.1029"
"0.959","-6.470947","-15.02036","241.5612","100.9349","254.9019","-157.0808"
"0.968","-0.4661865","-15.01044","246.5573","100.938","257.8991","-157.0547"
"0.976","6.536743","-14.0127","250.5549","100.9521","260.898","-157.0536"
"0.984","11.53882","-14.00922","254.5565","101.9531","263.895","-157.0466"
"0.993","17.53925","-13.01849","258.5579","101.9637","265.8972","-157.0398"
"1.001","22.54156","-13.01746","263.5561","102.9681","268.8949","-157.0247"
"1.009","28.53821","-13.00345","268.5524","103.9644","270.8975","-157.0107"
"1.018","34.53644","-12.00946","272.5508","103.9702","273.8951","-156.9901"
"1.026","39.54004","-12.01776","276.5511","104.9649","275.8937","-157.969"
"1.034","45.53992","-12.01584","280.551","104.9664","277.8928","-157.9418"
"1.043","51.54077","-11.02954","284.5515","104.9721","279.8907","-157.9117"
"1.051","56.54565","-11.02557","289.5497","105.9714","281.8916","-156.9463"
"1.059","61.54755","-11.01642","293.5489","105.9719","283.8881","-156.9771"
"1.068","70.5481","-10.022","297.5472","105.974","284.8888","-157.0046"
"1.076","75.54639","-10.013","300.5488","105.9725","285.8914","-156.0321"
"1.084","80.54517","-9.014343","304.545","105.9704","287.8868","-156.0515"
"1.093","85.54443","-9.006897","308.5406","105.9615","288.8818","-156.0706"
"1.101","94.54425","-8.013245","312.5379","105.9416","289.8763","-156.0879"
"1.109","96.53864","-8.0177","317.5339","104.9614","289.8773","-156.1107"
"1.118","103.5396","-7.031067","321.532","104.9601","290.8749","-156.1283"
"1.126","109.5397","-7.025116","325.5319","103.9801","290.8767","-156.1483"
"1.134","116.5463","-7.01767","327.5339","103.972","291.8713","-156.1614"
"1.143","121.5475","-7.019012","331.5305","102.9644","291.8667","-156.1737"
"1.151","128.5468","-8.012878","334.5319","101.9662","291.8613","-156.1804"
"1.159","134.5447","-8.019348","338.5288","100.9574","290.8614","-156.1874"
"1.168","139.5487","-8.030304","341.5252","99.94052","290.8565","-156.1867"
"1.176","144.5488","-8.04245","344.5259","97.9549","289.8549","-156.1871"
"1.185","150.5444","-9.030273","347.5251","96.95483","288.855","-156.189"
"1.193","156.545","-9.020386","349.527","95.94122","288.852","-156.1876"
"1.201","162.5444","-9.035004","353.5255","93.94183","284.8527","-156.2073"
"1.21","169.5431","-10.02731","356.5252","91.95502","283.8541","-156.2321"
"1.218","176.5417","-10.03357","359.5231","90.94232","283.8529","-156.2556"
"1.226","183.543","-11.02872","362.5219","88.94708","282.8539","-156.2839"
"1.235","188.5428","-12.02014","364.5195","87.93689","282.8532","-156.3137"
"1.243","195.5408","-12.02798","367.5167","85.94254","280.8541","-157.2922"
"1.251","200.5422","-13.03531","369.5137","84.93005","280.8545","-157.2755"
"1.26","208.5423","-14.04236","371.5147","82.9368","280.8563","-157.2616"
"1.268","214.5428","-16.03583","373.5135","81.9277","280.859","-157.2507"
"1.276","220.5438","-17.03711","375.5137","79.93283","281.8586","-157.2347"
"1.285","227.5427","-18.03815","377.512","78.92651","281.8596","-157.223"
"1.293","232.5408","-19.03815","379.5109","76.93604","281.862","-157.213"
"1.301","238.54","-20.02921","380.5112","75.93649","282.8618","-157.1965"
"1.31","250.5394","-18.02863","381.5129","74.92694","282.862","-157.1797"
"1.318","255.5403","-18.0285","383.5125","72.93765","282.8629","-157.1649"
"1.326","260.5436","-18.03033","384.5107","71.94495","282.8635","-157.1489"
"1.335","266.541","-19.02902","385.5093","70.94962","282.864","-157.1313"
"1.343","271.543","-19.0293","386.5071","69.95941","282.8645","-157.113"
"1.351","277.5439","-19.02872","386.5061","69.95126","282.8649","-157.0916"
"1.36","283.5432","-19.02875","386.5073","68.9494","283.8662","-156.1265"
"1.368","288.5429","-19.02972","386.5088","67.9491","283.8665","-156.1583"
"1.376","295.5422","-17.0325","387.5066","66.95413","283.8657","-156.1881"
"1.385","300.541","-17.03409","386.5046","65.96176","282.8665","-156.2217"
"1.393","304.5421","-17.03558","386.5029","65.96075","282.8657","-156.2524"
