"Time","Handle/0/X","Handle/0/Y","Shoulder/0/X","Shoulder/0/Y","Seat/0/X","Seat/0/Y"
"0.008","328.5","-19.5","386","61","303.5","-151"
"0.017","330.5013","-18.50339","386.998","61.98611","303.4972","-151"
"0.025","331.5031","-17.50189","386.9969","62.00189","303.4955","-151.0012"
"0.033","331.5023","-15.50259","384.999","62.00381","303.5002","-151.0078"
"0.042","329.5021","-14.50439","372.998","61.00479","304.4858","-151.009"
"0.05","326.5031","-14.50601","372.999","62.00351","304.4828","-151.0136"
"0.058","323.5041","-15.5061","371.999","63.00269","305.4706","-151.0153"
"0.067","320.5035","-16.5079","371","63.99969","305.4659","-151.0179"
"0.075","315.5051","-17.51099","370","66.00079","306.4521","-151.0199"
"0.083","310.5066","-19.50839","368","65.9986","306.4528","-151.0277"
"0.092","305.5057","-21.50491","366.001","67.992","307.4454","-151.0311"
"0.1","299.5046","-22.51001","364.001","68.98911","308.4354","-151.0334"
"0.108","293.5037","-25.50699","363","69.98889","309.4242","-151.031"
"0.117","286.5033","-27.50879","361.999","70.98471","309.4203","-151.0268"
"0.125","279.5032","-30.51208","355.9996","70.9899","310.4112","-151.0173"
"0.133","271.5036","-33.51611","356.9991","72.9841","310.412","-151.0081"
"0.142","262.5043","-37.51541","353.9995","73.97681","311.4064","-150.9921"
"0.15","255.505","-41.51309","351.0002","74.97089","311.4061","-151.9703"
"0.158","247.5057","-43.51721","347.9999","75.96909","312.3973","-151.9493"
"0.167","238.5058","-46.5177","346.0004","76.9657","312.3922","-151.9276"
"0.175","229.5053","-50.5181","342.0006","77.96191","312.3889","-151.9027"
"0.184","221.5062","-53.5195","338.999","78.957","312.3841","-151.8728"
"0.192","214.5065","-56.5188","334.9987","78.96179","312.3694","-151.8387"
"0.2","196.5061","-64.52249","328.0002","78.9606","303.3698","-152.8319"
"0.209","189.5057","-65.52881","326.996","80.9502","303.3673","-152.8191"
"0.217","180.5035","-68.5325","324.9962","80.95679","302.3668","-152.8134"
"0.225","174.502","-69.5376","321.9966","81.96121","302.3641","-152.8013"
"0.234","168.501","-70.54169","318.9961","82.96149","301.3623","-152.79"
"0.242","157.5024","-72.54791","314.9968","83.95599","300.3616","-152.7821"
"0.25","171.5038","-69.5495","310.9969","83.95801","299.36","-152.7756"
"0.259","169.5024","-69.5473","305.9977","83.9592","297.3609","-152.7802"
"0.267","131.0042","-77.54919","300.0011","83.9577","297.3597","-152.7764"
"0.275","123.0027","-77.55109","298.0032","85.94629","296.3594","-152.7734"
"0.284","116.0022","-77.56631","297.9974","86.94601","295.3577","-152.771"
"0.292","108.0112","-78.569","300.9908","88.95071","293.3577","-152.7776"
"0.3","102.0056","-78.5787","300.9814","89.9624","291.3583","-152.7898"
"0.309","95.99298","-78.58441","286.9819","87.9584","290.3574","-152.7981"
"0.317","89.99951","-78.5899","282.9817","87.9595","288.3576","-152.8147"
"0.325","84.00018","-78.58191","279.9817","88.9505","287.3576","-152.8291"
"0.334","76.99951","-77.58859","275.982","88.9545","285.3582","-152.8465"
"0.342","71.99561","-77.5737","271.9819","88.96399","284.358","-152.8624"
"0.35","66.00159","-75.57819","268.9844","89.9491","279.3574","-153.8511"
"0.359","59.9978","-74.56781","265.9791","89.94339","277.3583","-153.8454"
"0.367","55.99878","-72.58011","261.9791","89.94189","276.3577","-153.8359"
"0.375","50.99518","-71.59491","257.9803","89.94699","273.3584","-153.8368"
"0.384","44.99518","-71.57629","253.9838","89.95309","271.3585","-153.8389"
"0.392","39.00647","-70.57571","249.9889","89.95969","271.3571","-153.8282"
"0.4","33.99658","-69.57639","247.9844","90.95691","267.3582","-153.8334"
"0.409","29.99323","-68.5892","243.9886","90.95221","265.3593","-153.838"
"0.417","24.98578","-68.5842","240.9819","90.9541","263.36","-153.8468"
"0.425","20.97589","-67.59201","236.9838","90.9491","261.3605","-153.8568"
"0.434","15.97162","-67.5773","232.9898","90.94171","259.3612","-153.8683"
"0.442","11.96033","-66.5773","229.988","90.94019","257.3607","-153.8784"
"0.45","5.964722","-66.57529","225.9955","90.92941","255.3608","-153.8884"
"0.459","1.971313","-65.58621","222.9995","90.92099","253.36","-153.8953"
"0.467","-2.021484","-65.59119","220.002","90.9119","251.3597","-153.9026"
"0.475","-6.023682","-65.5824","215.9996","90.90491","249.3584","-153.9105"
"0.484","-10.02283","-64.5899","213.9938","90.8959","241.3585","-154.905"
"0.492","-15.01062","-64.58139","209.9988","90.87601","239.358","-154.8964"
"0.5","-19.00677","-63.59299","206.0056","89.8775","237.358","-154.8892"
"0.509","-23.0141","-63.59271","203","89.8866","235.3576","-154.8802"
"0.517","-28.0061","-63.58401","199.9958","89.89001","231.3574","-154.8831"
"0.526","-32.00018","-62.59341","197.9921","89.89111","229.3573","-154.887"
"0.534","-36.98853","-62.59119","194.9886","89.88361","229.3568","-154.8851"
"0.542","-41.99249","-62.5705","191.9854","89.87469","227.3565","-154.8855"
"0.551","-45.9975","-61.56601","187.9911","88.87701","225.356","-154.8839"
"0.559","-49.99823","-61.54361","185.9904","88.88199","223.3552","-154.8862"
"0.567","-54.00159","-60.5419","183.9847","88.88309","221.3536","-154.8866"
"0.576","-57.00317","-60.52829","180.9861","88.87451","218.3532","-154.8926"
"0.584","-60.00562","-59.52991","177.9855","87.88339","217.3524","-154.8976"
"0.592","-64.00751","-59.5166","175.9805","87.88989","215.3512","-154.904"
"0.601","-68.01349","-59.50089","173.9741","87.89249","212.3506","-154.912"
