"Time","Handle/0/X","Handle/0/Y"
"0.008","130","-53"
"0.017","125.0037","-54.99374"
"0.025","120.011","-57.00217"
"0.033","116.0101","-57.99918"
"0.042","112.0031","-60.00601"
"0.05","107.0013","-61.00027"
"0.058","102.0012","-62.00562"
"0.067","97.00177","-63.99451"
"0.075","92.00287","-65.98605"
"0.083","87.99658","-66.97202"
"0.092","83.99536","-66.97589"
"0.1","79.0014","-67.95587"
"0.108","74.00049","-67.9346"
"0.117","69.00409","-67.91534"
"0.125","64.01172","-67.90564"
"0.133","60.01599","-67.90872"
"0.142","56.01971","-67.92361"
"0.15","52.02014","-68.91852"
"0.158","48.01947","-68.92422"
"0.167","44.0119","-69.91199"
"0.175","40.00171","-69.91055"
"0.184","35.99377","-69.92392"
"0.192","32.98499","-70.91324"
"0.2","28.97638","-70.91101"
"0.209","23.97821","-69.89423"
"0.217","19.97803","-69.89948"
"0.225","15.97339","-69.91586"
"0.234","11.97028","-69.93463"
"0.242","7.978455","-69.95618"
"0.25","4.975159","-69.97903"
"0.259","0.9782715","-70.00012"
"0.267","-2.032715","-69.02203"
"0.275","-6.034058","-69.03534"
"0.284","-10.02197","-69.03998"
"0.292","-12.03522","-69.03705"
"0.3","-16.02802","-69.03024"
"0.309","-19.02777","-69.0155"
"0.317","-22.03619","-68.99576"
"0.325","-26.02777","-69.01395"
"0.334","-29.02588","-68.0162"
"0.342","-32.02173","-68.00159"
"0.35","-35.01904","-67.01526"
"0.359","-38.01752","-67.00449"
"0.367","-41.01831","-66.02209"
"0.375","-44.0238","-66.0097"
"0.384","-47.02924","-65.02417"
"0.392","-50.02985","-65.01492"
"0.4","-53.02905","-64.98688"
"0.409","-56.02325","-64.99677"
"0.417","-58.03589","-64.99182"
"0.425","-62.02612","-64.97723"
"0.434","-64.03363","-64.96048"
"0.442","-67.0368","-63.98221"
"0.45","-70.0285","-63.99759"
"0.459","-72.04047","-64.01117"
"0.467","-76.02869","-63.00879"
"0.475","-78.03333","-63.0015"
"0.484","-82.01605","-62.02148"
"0.492","-84.01105","-62.0264"
"0.5","-86.01691","-62.01337"
"0.509","-90.00012","-61.02374"
"0.517","-92.00391","-61.01584"
"0.526","-95.00635","-60.03461"
"0.534","-98.00519","-60.02936"
"0.542","-100.9989","-59.04877"
"0.551","-104.9905","-59.0416"
"0.559","-107.0022","-58.06274"
"0.567","-109.9919","-58.06113"
"0.576","-113.9862","-57.08417"
"0.584","-116.9818","-57.08142"
"0.592","-119.9797","-56.10294"
"0.601","-122.9735","-56.10443"
"0.609","-125.967","-55.12796"
"0.617","-128.9581","-55.12775"
"0.626","-130.967","-55.11255"
"0.634","-134.951","-54.11472"
"0.642","-136.9484","-54.10187"
"0.651","-138.9585","-53.11478"
"0.659","-141.9608","-53.10199"
"0.667","-144.9529","-52.11429"
"0.676","-146.9603","-52.09613"
"0.684","-149.9572","-51.09164"
"0.692","-151.96","-50.09839"
"0.701","-154.9411","-49.11981"
"0.709","-156.9316","-48.13751"
"0.717","-158.9263","-47.15134"
"0.726","-160.9258","-46.14557"
"0.734","-162.9232","-45.12054"
"0.742","-164.9168","-43.11298"
"0.751","-166.9014","-41.12766"
"0.759","-167.9073","-39.14813"
"0.767","-169.9037","-37.16736"
"0.776","-170.9128","-35.18152"
"0.784","-172.9057","-33.18259"
"0.792","-173.9034","-31.1759"
"0.801","-174.9012","-29.16214"
"0.809","-175.9051","-26.16693"
"0.817","-176.9076","-23.18607"
"0.826","-177.9022","-21.17654"
"0.834","-178.8871","-18.17969"
"0.843","-178.8857","-15.19641"
"0.851","-178.8922","-13.20071"
"0.859","-178.8972","-11.18646"
"0.868","-178.9064","-8.185791"
"0.876","-178.9135","-5.196075"
"0.884","-178.9101","-3.188599"
"0.893","-178.9021","-0.1951599"
"0.901","-177.9036","1.809448"
"0.909","-176.9088","3.820831"
"0.918","-176.8942","6.819427"
"0.926","-174.9012","8.81955"
"0.934","-173.9003","10.82574"
"0.943","-172.8943","12.8306"
"0.951","-170.9003","14.82687"
